date,category,description,amount(Rupees)
10/01/2024,Groceries,Weekly grocery shopping at Walmart,150.25
10/02/2024,Dining,Lunch at a cafe,25.50
10/03/2024,Utilities,Electricity bill payment,85.00
10/05/2024,Transportation,Gasoline for the car,40.00
10/07/2024,Entertainment,Movie tickets,30.00
10/10/2024,Groceries,Quick stop at the local market,35.75
10/12/2024,Shopping,New pair of shoes,75.00
10/15/2024,Health,Doctor's visit co-pay,50.00
10/18/2024,Dining,Dinner with friends,65.00
10/20/2024,Transportation,Monthly public transit pass,90.00
10/22/2024,Utilities,Internet bill,55.00
10/25/2024,Groceries,Last grocery run for the month,120.50
10/28/2024,Shopping,Online subscription service,15.00
10/30/2024,Entertainment,Concert tickets,100.00
10/31/2024,Health,Gym membership fee,45.00
